MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,ORIGIN,DEST,DEP_DEL15,DISTANCE,DEP_HOUR
1,15,3,UA,SEA,Other,0,2306.0,8
1,14,2,WN,ORD,Other,0,977.0,14
3,17,1,OO,Other,ORD,0,240.0,7
7,16,3,AA,DFW,Other,1,1067.0,14
5,23,5,UA,DEN,Other,0,420.0,17
10,22,3,DL,SLC,CLT,0,1727.0,10
7,1,2,AA,DFW,Other,0,1061.0,21
2,16,7,OO,DTW,Other,1,74.0,10
12,10,3,WN,LAS,Other,1,407.0,18
7,30,3,YX,LGA,Other,0,291.0,10
12,14,7,AA,DFW,Other,0,1106.0,12
3,17,1,UA,EWR,SFO,0,2565.0,8
2,17,1,AA,Other,Other,0,920.0,8
7,10,4,WN,PHX,Other,0,1999.0,16
1,27,1,F9,MCO,IAH,0,854.0,9
11,17,1,YX,DCA,LGA,1,214.0,20
7,10,4,UA,LAX,Other,0,2556.0,11
2,18,2,WN,PHX,LAS,0,255.0,17
3,1,6,OO,DFW,Other,0,853.0,11
9,20,6,OH,Other,DCA,0,634.0,5
4,27,7,WN,Other,Other,0,220.0,18
5,18,7,DL,DTW,Other,0,1956.0,16
7,28,1,WN,LGA,DEN,0,1620.0,7
12,7,7,AA,Other,CLT,0,361.0,5
9,2,2,MQ,Other,ORD,0,173.0,15
5,30,5,B6,Other,Other,0,301.0,15
11,7,5,WN,Other,Other,0,562.0,10
3,8,6,WN,Other,Other,0,1078.0,10
1,13,1,NK,Other,BOS,0,1237.0,20
8,3,7,MQ,ORD,Other,0,416.0,11
5,14,3,UA,DEN,Other,0,406.0,8
11,12,3,AA,CLT,Other,0,130.0,12
10,10,5,OO,Other,SFO,0,412.0,14
6,2,1,OO,DEN,Other,0,1048.0,10
11,7,5,WN,Other,Other,1,491.0,16
12,12,5,MQ,ORD,Other,0,723.0,9
11,10,1,WN,Other,Other,1,324.0,7
7,4,5,AA,LAX,PHX,0,370.0,16
3,25,2,AS,SEA,Other,0,2422.0,10
9,22,1,UA,SFO,LAS,0,414.0,8
11,9,7,G4,Other,Other,0,870.0,13
6,4,3,MQ,DFW,Other,1,190.0,17
3,16,7,YX,Other,LGA,0,335.0,8
2,4,2,MQ,Other,MIA,0,204.0,20
7,20,7,WN,Other,Other,0,461.0,5
5,23,5,AS,Other,SEA,1,847.0,19
11,6,4,WN,Other,Other,0,200.0,11
1,7,2,OO,Other,SLC,0,463.0,11
2,1,6,WN,Other,Other,0,842.0,6
6,15,7,UA,ORD,EWR,1,719.0,21
11,6,4,YX,CLT,Other,1,542.0,13
10,26,7,WN,PHX,SLC,0,507.0,7
11,13,4,YX,BOS,DCA,0,399.0,21
4,1,2,UA,SFO,Other,0,2419.0,12
6,10,2,AA,LGA,ORD,1,733.0,14
9,4,4,AA,LAS,DFW,0,1055.0,14
11,18,2,WN,Other,Other,0,838.0,18
12,23,2,OO,Other,DEN,0,125.0,15
7,13,7,AS,Other,SEA,0,2700.0,21
6,9,1,MQ,Other,ORD,0,607.0,16
9,12,5,UA,ORD,LAS,1,1514.0,19
10,24,5,OO,Other,DEN,1,73.0,7
8,16,6,F9,MCO,Other,0,851.0,8
2,10,1,WN,Other,Other,0,803.0,12
7,27,7,DL,Other,SLC,0,1528.0,7
10,21,2,AA,DFW,SFO,0,1464.0,11
4,30,3,DL,ATL,SFO,0,2139.0,13
7,23,3,AA,DFW,Other,0,862.0,20
5,22,4,UA,DEN,Other,0,1671.0,9
9,27,6,DL,Other,MSP,0,626.0,7
6,18,3,AA,LAX,Other,0,1242.0,7
5,15,4,MQ,ORD,Other,0,315.0,14
10,14,2,WN,Other,Other,0,404.0,14
10,17,5,F9,Other,ATL,0,692.0,11
11,17,1,WN,Other,Other,0,1481.0,17
9,9,2,WN,Other,Other,0,377.0,13
3,17,1,HA,Other,Other,1,102.0,18
10,7,2,OO,LAX,Other,0,451.0,19
2,6,4,OO,LAX,Other,0,373.0,22
4,26,6,WN,Other,Other,0,237.0,16
12,11,4,G4,Other,Other,0,1066.0,7
8,5,2,DL,MSP,LAS,0,1299.0,18
11,28,5,B6,Other,Other,0,1069.0,17
5,28,3,DL,DTW,Other,0,549.0,7
5,10,6,DL,ATL,Other,0,153.0,8
7,28,1,UA,EWR,Other,0,1065.0,9
4,22,2,AS,SEA,LAS,0,867.0,17
7,14,1,AS,SEA,Other,1,956.0,15
3,19,3,WN,PHX,Other,0,1262.0,5
10,21,2,B6,Other,Other,0,1598.0,18
10,14,2,WN,MCO,Other,0,1011.0,9
5,3,6,AA,MIA,Other,1,859.0,15
10,31,5,WN,Other,DEN,0,1013.0,9
1,2,4,AA,Other,CLT,0,335.0,7
11,12,3,UA,DEN,Other,0,1703.0,17
1,25,6,DL,ATL,MCO,1,404.0,15
8,16,6,OO,SFO,LAX,0,337.0,13
2,16,7,WN,MCO,PHX,0,1849.0,7
6,6,5,OO,DEN,Other,1,845.0,19
9,24,3,UA,ORD,Other,0,224.0,19
4,27,7,AA,Other,CLT,1,754.0,15
8,1,5,AA,Other,CLT,0,130.0,10
10,30,4,AA,Other,DFW,0,987.0,7
11,29,6,AA,DCA,DFW,1,1192.0,14
12,11,4,OH,ATL,Other,0,666.0,18
10,17,5,YX,Other,BOS,0,473.0,6
5,21,3,WN,Other,Other,0,100.0,12
5,8,4,OH,Other,DCA,1,653.0,17
1,9,4,G4,Other,Other,0,1240.0,19
5,9,5,AA,ORD,Other,0,1012.0,6
10,1,3,MQ,Other,DFW,0,304.0,14
9,1,1,F9,ORD,DFW,0,802.0,5
8,16,6,AA,DCA,CLT,0,331.0,15
3,20,4,HA,SFO,Other,1,2338.0,8
6,2,1,UA,DCA,ORD,0,612.0,10
9,2,2,DL,ATL,Other,0,153.0,8
10,14,2,DL,Other,ATL,0,821.0,10
7,24,4,DL,Other,ATL,1,332.0,14
5,3,6,UA,Other,IAH,0,787.0,11
10,12,7,NK,EWR,Other,0,748.0,10
7,8,2,WN,Other,Other,0,1209.0,12
5,21,3,WN,Other,Other,0,937.0,17
12,18,4,DL,Other,ATL,0,448.0,6
11,22,6,OH,Other,DCA,1,634.0,14
5,29,4,DL,Other,MSP,0,726.0,19
12,25,4,UA,ORD,DEN,0,888.0,12
3,30,7,AA,SEA,DFW,0,1660.0,11
6,9,1,F9,Other,DEN,0,819.0,0
6,1,7,OO,LAX,Other,0,373.0,19
1,17,5,OO,SEA,DEN,0,1024.0,15
4,19,6,WN,Other,Other,0,358.0,6
1,7,2,AA,DFW,Other,1,929.0,10
10,12,7,OO,Other,SLC,0,558.0,9
7,18,5,OO,DFW,Other,0,846.0,19
5,4,7,B6,SFO,Other,1,2586.0,13
12,26,5,UA,Other,DEN,0,853.0,18
10,9,4,DL,Other,ATL,0,302.0,5
10,8,3,AA,DFW,Other,0,1017.0,18
8,20,3,WN,MCO,Other,1,994.0,15
4,13,7,OO,Other,PHX,0,110.0,7
7,12,6,DL,EWR,ATL,1,746.0,15
7,24,4,WN,DEN,Other,1,957.0,18
4,21,1,B6,LGA,Other,0,1076.0,21
12,11,4,YX,Other,Other,0,335.0,11
7,1,2,HA,Other,Other,0,84.0,11
4,22,2,AA,DFW,LAX,0,1235.0,14
11,19,3,AA,DFW,LAS,0,1055.0,21
5,30,5,NK,SLC,LAS,1,368.0,20
6,14,6,F9,SFO,LAX,0,337.0,11
1,16,4,AA,Other,DFW,0,447.0,13
2,22,6,DL,LAX,ATL,0,1947.0,6
3,11,2,AA,MIA,DFW,0,1121.0,21
11,16,7,OH,DFW,Other,0,364.0,8
8,27,3,DL,LAX,Other,0,2475.0,7
10,3,5,DL,DCA,DTW,0,405.0,19
5,23,5,UA,Other,DEN,0,846.0,8
10,10,5,UA,EWR,DFW,0,1372.0,11
1,28,2,WN,Other,Other,0,1557.0,11
4,9,3,DL,Other,DTW,1,983.0,10
7,1,2,AA,DFW,SEA,0,1660.0,7
8,26,2,YX,ORD,Other,0,177.0,15
9,1,1,WN,Other,Other,0,852.0,13
4,16,3,WN,Other,Other,0,628.0,15
11,29,6,DL,ATL,DTW,1,594.0,20
3,30,7,B6,Other,LGA,1,1035.0,18
1,27,1,OO,Other,DTW,0,74.0,12
2,22,6,AA,MIA,Other,0,990.0,19
5,17,6,DL,Other,ATL,0,300.0,6
5,13,2,AA,Other,MIA,0,1013.0,10
7,9,3,UA,LAX,Other,1,2052.0,10
12,21,7,DL,LAX,Other,0,833.0,15
12,11,4,UA,Other,Other,1,1362.0,17
8,8,5,AA,Other,DFW,0,631.0,15
7,15,2,F9,SLC,DEN,0,391.0,8
1,13,1,OO,DEN,Other,0,637.0,17
5,27,2,AA,MIA,Other,0,1068.0,15
2,2,7,WN,Other,DEN,0,651.0,14
11,2,7,WN,Other,MIA,0,946.0,12
9,24,3,WN,Other,Other,0,137.0,17
7,19,6,AA,CLT,Other,1,1095.0,11
1,16,4,UA,Other,IAH,0,140.0,14
12,8,1,B6,Other,ATL,0,581.0,20
9,12,5,OO,PHX,LAX,0,370.0,16
6,3,2,NK,LGA,ORD,0,733.0,18
2,24,1,WN,Other,Other,0,220.0,17
2,28,5,OO,DFW,Other,0,469.0,17
5,12,1,OH,Other,DCA,0,323.0,15
5,17,6,OO,Other,IAH,0,513.0,8
4,26,6,DL,Other,ATL,0,214.0,5
9,18,4,F9,Other,Other,0,474.0,16
7,6,7,F9,ATL,Other,0,577.0,7
7,3,4,UA,EWR,Other,1,1065.0,18
7,24,4,NK,Other,EWR,0,628.0,14
9,18,4,UA,EWR,DEN,0,1605.0,6
8,14,4,NK,Other,EWR,1,748.0,12
7,6,7,G4,Other,Other,1,859.0,19
6,15,7,MQ,Other,DFW,0,631.0,20
7,10,4,DL,ATL,Other,1,859.0,15
2,22,6,UA,DEN,Other,0,1449.0,9
6,1,7,OO,Other,DEN,0,113.0,10
11,29,6,DL,Other,ATL,0,721.0,6
8,8,5,YX,Other,ORD,0,286.0,8
8,11,1,WN,LAX,Other,0,1751.0,12
12,15,1,WN,PHX,Other,0,347.0,18
9,4,4,OH,Other,CLT,0,157.0,13
10,31,5,AA,CLT,LAX,0,2125.0,16
4,5,6,OO,Other,SEA,0,129.0,5
5,23,5,AA,ORD,Other,1,760.0,7
12,1,1,AA,MIA,LGA,0,1096.0,7
4,14,1,OO,Other,SEA,0,605.0,18
10,8,3,WN,Other,Other,0,471.0,21
11,22,6,AA,BOS,DCA,0,399.0,7
3,3,1,WN,DEN,Other,1,472.0,11
8,4,1,WN,Other,Other,0,829.0,20
6,12,4,UA,EWR,Other,0,1569.0,13
5,24,6,AA,Other,DFW,1,1119.0,19
5,23,5,DL,Other,LGA,0,1183.0,10
4,1,2,NK,DFW,LAX,0,1235.0,5
5,17,6,HA,Other,Other,0,100.0,9
5,14,3,WN,Other,Other,0,2295.0,21
1,4,6,MQ,DFW,Other,0,691.0,20
1,8,3,AA,Other,CLT,0,328.0,16
8,22,5,AA,DFW,PHX,0,868.0,10
1,6,1,AA,Other,DFW,0,551.0,5
4,2,3,UA,SFO,EWR,0,2565.0,13
10,19,7,B6,Other,BOS,1,1249.0,7
6,13,5,UA,ORD,Other,1,258.0,21
2,23,7,AA,CLT,Other,0,449.0,18
7,9,3,HA,Other,Other,0,2498.0,12
9,27,6,DL,ATL,LAX,0,1947.0,16
5,9,5,WN,Other,DTW,0,456.0,9
7,14,1,WN,Other,Other,0,461.0,12
7,31,4,DL,MIA,LAX,0,2342.0,7
3,5,3,OO,Other,DEN,0,298.0,19
7,14,1,DL,ATL,MIA,1,594.0,16
7,2,3,DL,MCO,ATL,1,404.0,15
12,14,7,B6,Other,Other,1,1624.0,8
7,11,5,DL,IAH,LGA,0,1416.0,10
12,19,5,MQ,DFW,Other,0,435.0,11
1,26,7,UA,Other,Other,0,1025.0,8
3,23,7,B6,BOS,Other,0,612.0,20
7,31,4,DL,ATL,Other,0,481.0,10
9,5,5,G4,Other,LAS,1,732.0,14
4,19,6,OO,SEA,Other,1,399.0,19
8,20,3,B6,MCO,EWR,1,937.0,20
8,14,4,WN,Other,Other,1,587.0,13
9,20,6,OO,LAX,Other,0,737.0,14
5,25,7,YX,ORD,Other,0,177.0,7
7,11,5,UA,DEN,LAX,1,862.0,20
8,28,4,AA,MIA,ATL,0,594.0,16
11,9,7,NK,Other,PHX,0,1972.0,8
1,4,6,UA,Other,EWR,0,212.0,8
3,9,7,WN,Other,Other,0,461.0,5
3,30,7,WN,Other,Other,1,849.0,12
11,3,1,F9,Other,Other,0,416.0,7
11,24,1,AS,SEA,PHX,0,1107.0,18
5,20,2,DL,SLC,LAX,0,590.0,7
3,16,7,WN,DEN,SFO,1,967.0,9
4,13,7,WN,Other,LAX,0,1750.0,22
3,3,1,AA,DFW,Other,0,190.0,17
9,14,7,B6,Other,Other,0,273.0,20
