MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,ORIGIN,DEST,DEP_DEL15,DISTANCE,DEP_HOUR
6,1,7,WN,Other,Other,1,1706.0,20
7,17,4,MQ,DFW,Other,0,448.0,13
8,9,6,AA,Other,CLT,0,1032.0,13
3,10,1,OO,DEN,Other,0,251.0,9
2,28,5,DL,Other,ATL,0,321.0,6
4,2,3,WN,Other,Other,1,917.0,20
7,13,7,OO,Other,SLC,0,463.0,5
12,9,2,DL,ORD,LGA,0,733.0,10
7,8,2,AA,Other,LAX,1,2402.0,13
7,10,4,WN,Other,Other,0,1450.0,7
3,17,1,UA,SEA,SFO,0,679.0,12
12,31,3,AA,DFW,Other,0,1102.0,10
3,23,7,AA,MCO,PHX,0,1849.0,11
10,7,2,WN,Other,ATL,0,721.0,14
3,25,2,AS,SEA,Other,0,2422.0,10
3,16,7,UA,PHX,ORD,1,1440.0,23
12,4,4,AA,Other,DFW,0,1067.0,6
4,9,3,DL,ATL,Other,0,666.0,22
12,14,7,AA,Other,LGA,1,1076.0,13
9,3,3,AA,Other,PHX,0,1010.0,5
6,18,3,DL,ATL,Other,0,646.0,9
7,31,4,DL,ATL,Other,0,760.0,8
1,3,5,DL,ATL,MCO,1,404.0,15
10,8,3,WN,DTW,Other,0,409.0,13
4,25,5,WN,Other,Other,1,925.0,14
8,17,7,UA,IAH,MSP,1,1034.0,19
2,16,7,WN,Other,Other,0,441.0,10
5,7,3,WN,Other,DEN,1,1491.0,21
10,22,3,WN,LAX,Other,0,2556.0,7
10,18,6,WN,MCO,MIA,1,192.0,20
6,5,4,OO,Other,LAS,1,258.0,14
12,28,7,AS,SEA,ORD,0,1721.0,17
12,26,5,UA,LAX,BOS,0,2611.0,8
10,14,2,AA,SLC,DFW,0,989.0,7
11,12,3,YX,LGA,BOS,0,184.0,13
8,2,6,AA,MCO,MIA,0,192.0,10
7,14,1,MQ,DFW,Other,0,227.0,16
4,5,6,DL,Other,MSP,0,1042.0,11
4,12,6,DL,ATL,SLC,0,1590.0,17
12,2,2,YX,Other,LGA,0,812.0,15
11,7,5,B6,BOS,Other,1,332.0,20
8,1,5,WN,DEN,Other,1,563.0,16
3,7,5,WN,Other,MCO,0,1005.0,10
7,18,5,NK,Other,Other,0,673.0,18
10,11,6,AA,LAX,Other,0,2475.0,8
5,20,2,UA,Other,Other,0,1025.0,10
3,4,2,OH,Other,DCA,0,519.0,7
8,23,6,UA,EWR,Other,0,1065.0,9
8,9,6,YX,DCA,BOS,0,399.0,13
7,7,1,UA,IAH,CLT,0,912.0,18
8,27,3,MQ,CLT,Other,0,1322.0,8
11,23,7,AA,Other,DFW,0,1430.0,12
8,5,2,DL,Other,MSP,0,980.0,19
6,17,2,DL,Other,LGA,0,1035.0,7
8,27,3,OH,CLT,Other,0,394.0,21
2,8,6,DL,Other,Other,0,1005.0,12
4,10,4,DL,Other,DTW,0,983.0,10
5,29,4,AA,DFW,Other,0,918.0,7
11,28,5,AA,DFW,Other,1,550.0,17
2,5,3,WN,Other,Other,0,353.0,16
4,7,1,DL,Other,ATL,0,442.0,6
7,10,4,OH,Other,DCA,0,897.0,6
4,25,5,WN,Other,Other,1,417.0,17
1,23,4,NK,Other,LAS,1,226.0,15
12,1,1,AA,CLT,IAH,1,912.0,18
6,10,2,AA,DFW,MSP,0,852.0,10
4,6,7,WN,Other,SLC,0,588.0,19
12,28,7,DL,SLC,MSP,1,991.0,17
9,1,1,AS,SEA,Other,1,847.0,15
3,9,7,WN,LAS,Other,0,197.0,6
4,20,7,UA,Other,LAX,0,2288.0,12
3,2,7,AA,DFW,Other,0,918.0,13
5,18,7,AS,Other,SEA,0,1533.0,12
1,24,5,UA,ORD,ATL,0,606.0,10
1,15,3,UA,Other,IAH,0,1042.0,6
5,1,4,AA,CLT,Other,0,1095.0,8
6,18,3,WN,SEA,Other,1,672.0,18
9,30,2,DL,MIA,LGA,0,1096.0,15
9,26,5,DL,Other,ATL,0,577.0,12
7,27,7,WN,DEN,Other,0,541.0,17
2,11,2,DL,SEA,SLC,0,689.0,5
6,1,7,DL,ATL,MCO,0,404.0,7
12,16,2,MQ,ORD,Other,0,528.0,15
5,28,3,MQ,DFW,Other,0,685.0,9
1,2,4,YX,LGA,CLT,0,544.0,9
3,20,4,F9,IAH,MCO,1,854.0,20
3,16,7,UA,Other,IAH,1,667.0,16
3,26,3,F9,Other,DEN,0,589.0,20
4,28,1,AA,Other,CLT,0,427.0,12
8,18,1,DL,ATL,Other,1,1919.0,15
7,27,7,HA,Other,Other,0,101.0,19
5,3,6,OO,Other,Other,0,749.0,9
2,11,2,OO,Other,IAH,1,395.0,14
10,6,1,WN,Other,DEN,0,563.0,10
5,28,3,DL,SLC,Other,1,1565.0,17
3,13,4,AA,ATL,DFW,0,731.0,16
9,6,6,OO,LAS,Other,1,386.0,12
4,30,3,B6,Other,BOS,1,1698.0,15
5,5,1,F9,Other,Other,0,1174.0,9
11,17,1,B6,Other,Other,0,1666.0,6
5,19,1,WN,Other,Other,0,439.0,5
6,20,5,AA,MIA,Other,0,1103.0,15
4,19,6,YX,LGA,Other,0,431.0,10
1,26,7,DL,MCO,ATL,0,404.0,8
10,13,1,WN,Other,LAX,1,390.0,12
10,22,3,OO,DFW,Other,0,435.0,21
6,28,6,DL,Other,SEA,1,1978.0,7
10,18,6,WN,Other,Other,0,437.0,5
12,19,5,DL,ATL,SFO,0,2139.0,15
7,20,7,OH,Other,Other,0,1067.0,13
12,27,6,WN,Other,PHX,0,347.0,14
5,29,4,DL,ATL,Other,0,760.0,12
1,29,3,WN,Other,LAS,0,1099.0,18
9,20,6,OO,LAX,Other,0,737.0,14
3,24,1,AS,LAS,SEA,0,867.0,6
9,19,5,YX,LGA,CLT,0,544.0,19
8,13,3,DL,SLC,DEN,0,391.0,10
8,28,4,DL,Other,MSP,0,2466.0,22
12,20,6,UA,DEN,Other,0,251.0,19
12,8,1,OO,Other,DEN,0,845.0,12
7,15,2,AA,DFW,ATL,1,731.0,20
10,19,7,OO,Other,DEN,0,488.0,8
12,19,5,WN,Other,Other,0,756.0,21
1,5,7,WN,Other,MCO,0,849.0,6
6,14,6,OO,Other,ATL,1,589.0,14
3,22,6,AA,Other,PHX,0,328.0,11
6,17,2,DL,ATL,Other,0,153.0,8
9,11,4,NK,MCO,Other,0,802.0,15
1,2,4,UA,Other,IAH,0,191.0,16
7,14,1,DL,SEA,Other,0,2354.0,15
12,22,1,AA,PHX,Other,0,304.0,11
10,9,4,DL,Other,ATL,0,821.0,15
8,24,7,B6,Other,Other,1,1074.0,13
1,7,2,WN,LAS,Other,0,386.0,20
6,24,2,AA,ORD,Other,1,409.0,22
10,1,3,YX,Other,LGA,1,291.0,17
5,25,7,WN,Other,PHX,0,735.0,12
2,11,2,WN,Other,CLT,0,575.0,9
6,19,4,OO,ORD,Other,0,1236.0,20
6,27,5,MQ,Other,DFW,1,785.0,18
12,3,3,DL,BOS,Other,1,187.0,6
6,25,3,AA,DCA,MIA,1,919.0,19
10,13,1,WN,DEN,Other,0,976.0,12
7,3,4,AS,DEN,Other,0,2405.0,9
5,6,2,UA,ORD,Other,0,794.0,10
6,2,1,WN,Other,Other,0,475.0,9
1,20,1,AA,CLT,Other,1,257.0,14
3,19,3,OO,ATL,Other,1,566.0,15
8,26,2,YX,LGA,Other,0,479.0,13
4,21,1,B6,Other,Other,0,68.0,15
1,19,7,UA,Other,SFO,0,1911.0,8
4,29,2,WN,Other,Other,0,251.0,14
11,17,1,MQ,Other,DFW,0,1081.0,6
9,14,7,UA,SFO,Other,0,2398.0,16
11,13,4,DL,MSP,LGA,0,1020.0,7
11,26,3,DL,ATL,Other,0,164.0,21
11,7,5,WN,Other,Other,1,404.0,18
7,1,2,WN,Other,Other,0,687.0,13
10,25,6,WN,MCO,MIA,0,192.0,20
9,27,6,DL,ATL,Other,1,164.0,14
4,13,7,AA,CLT,DFW,1,936.0,15
10,12,7,B6,MCO,BOS,0,1121.0,6
7,21,1,WN,Other,DEN,0,1610.0,6
11,7,5,AA,Other,Other,0,993.0,11
8,30,6,WN,DEN,Other,1,524.0,19
10,4,6,WN,Other,Other,0,390.0,6
12,11,4,YX,Other,ORD,1,413.0,14
7,2,3,YX,DCA,Other,1,323.0,16
5,19,1,WN,LAS,LAX,1,236.0,11
11,28,5,WN,BOS,Other,0,369.0,5
9,14,7,DL,Other,ATL,0,300.0,10
6,20,5,G4,Other,Other,0,1103.0,6
8,11,1,HA,SEA,Other,1,1448.0,22
12,20,6,OH,CLT,ATL,0,226.0,7
12,23,2,YX,Other,LGA,0,888.0,17
8,7,4,UA,Other,DEN,0,2430.0,23
3,3,1,DL,Other,MSP,0,408.0,12
7,25,5,DL,Other,ATL,0,813.0,17
5,19,1,OO,DEN,Other,1,73.0,15
1,1,3,AS,SFO,Other,0,2398.0,10
8,31,7,OH,CLT,Other,0,437.0,13
2,5,3,UA,LGA,ORD,0,733.0,20
6,26,4,DL,Other,SLC,1,626.0,17
2,18,2,WN,Other,Other,0,163.0,6
1,30,4,OO,Other,DTW,0,113.0,12
8,15,5,WN,Other,Other,0,480.0,14
5,28,3,UA,DEN,Other,1,1703.0,17
8,25,1,G4,Other,Other,0,1279.0,14
5,12,1,MQ,ORD,Other,0,522.0,8
11,28,5,UA,IAH,Other,0,1325.0,18
11,30,7,AA,DFW,Other,1,1303.0,8
11,18,2,AA,DCA,Other,0,857.0,16
3,27,4,NK,Other,MIA,0,675.0,22
8,30,6,AS,SEA,Other,0,2354.0,9
10,27,1,WN,DCA,MCO,1,759.0,18
5,29,4,OO,ORD,Other,0,156.0,7
12,20,6,MQ,DFW,Other,1,922.0,11
7,28,1,WN,PHX,ORD,1,1440.0,16
3,5,3,NK,DTW,IAH,0,1075.0,5
7,10,4,WN,Other,Other,0,930.0,15
2,16,7,WN,Other,LAX,0,337.0,16
7,13,7,WN,Other,Other,0,797.0,12
3,28,5,DL,SLC,LAX,0,590.0,21
5,4,7,AA,DFW,IAH,1,224.0,10
11,24,1,OO,Other,ORD,0,536.0,10
9,18,4,NK,MCO,DFW,0,985.0,7
12,27,6,AA,DFW,Other,0,1102.0,10
12,23,2,UA,DEN,Other,0,752.0,19
11,22,6,OH,Other,DCA,0,408.0,10
6,27,5,DL,SEA,Other,0,978.0,9
7,17,4,WN,Other,ATL,1,874.0,15
3,9,7,G4,LAS,Other,0,1210.0,12
1,24,5,WN,Other,Other,0,543.0,11
10,13,1,DL,SEA,Other,0,2639.0,14
2,2,7,B6,MIA,BOS,0,1258.0,12
9,30,2,NK,ORD,Other,0,1182.0,11
3,12,3,UA,Other,ORD,0,137.0,7
1,7,2,MQ,CLT,Other,0,675.0,14
8,25,1,OO,SEA,Other,0,748.0,11
4,19,6,UA,ORD,Other,0,137.0,18
12,26,5,F9,Other,Other,0,955.0,19
9,22,1,DL,DTW,Other,0,456.0,8
2,16,7,OO,Other,DTW,1,383.0,12
9,13,6,OO,Other,DEN,0,896.0,10
7,9,3,OO,Other,DFW,0,309.0,5
12,17,3,DL,DTW,Other,0,983.0,7
8,4,1,DL,MIA,ATL,1,594.0,19
5,17,6,WN,Other,Other,0,1155.0,7
3,10,1,WN,Other,Other,0,838.0,13
4,17,4,OO,Other,DEN,0,637.0,13
3,21,5,AA,Other,DCA,0,899.0,11
9,20,6,B6,Other,Other,0,427.0,15
4,21,1,DL,DTW,Other,0,508.0,20
4,4,5,AA,DFW,CLT,1,936.0,13
9,8,1,UA,LAX,Other,0,2329.0,9
9,16,2,WN,Other,Other,0,1565.0,8
10,27,1,G4,Other,Other,0,1222.0,10
3,30,7,WN,Other,Other,0,972.0,21
3,22,6,AA,LAS,ORD,1,1514.0,14
4,29,2,UA,Other,ORD,0,403.0,11
3,17,1,DL,Other,ATL,0,214.0,14
2,22,6,WN,LAS,Other,0,345.0,12
12,9,2,UA,EWR,Other,0,1569.0,11
11,5,3,AA,Other,ORD,0,849.0,6
1,19,7,F9,IAH,MCO,1,854.0,21
9,17,3,OO,Other,Other,0,1164.0,14
5,14,3,UA,Other,DEN,0,616.0,9
9,2,2,WN,DEN,Other,0,883.0,10
3,29,6,DL,ATL,Other,0,749.0,15
12,22,1,AA,DFW,PHX,0,868.0,16
11,17,1,WN,DCA,LAS,1,2089.0,16
2,9,7,WN,Other,Other,0,756.0,7
10,18,6,YX,Other,DCA,0,519.0,19
9,19,5,WN,Other,Other,0,1442.0,8
11,2,7,WN,Other,Other,1,281.0,22
1,8,3,OO,Other,ORD,1,438.0,7
6,18,3,OO,Other,SLC,0,436.0,18
1,16,4,DL,Other,SFO,0,2586.0,7
12,8,1,AA,MIA,PHX,1,1972.0,21
1,1,3,B6,LAX,BOS,0,2611.0,15
3,22,6,YX,Other,Other,0,427.0,5
5,28,3,F9,MCO,Other,0,534.0,8
11,24,1,OO,Other,SFO,0,447.0,16
9,24,3,OO,Other,MSP,1,434.0,6
6,29,7,WN,MCO,Other,0,1073.0,22
11,16,7,OO,ORD,Other,0,67.0,17
10,5,7,UA,Other,EWR,0,1068.0,7
10,23,4,NK,Other,Other,0,993.0,5
4,2,3,OO,PHX,Other,0,160.0,13
6,22,7,YX,DCA,BOS,0,399.0,9
9,16,2,OH,DCA,Other,0,437.0,8
1,16,4,AA,DCA,Other,0,899.0,15
6,4,3,AA,Other,PHX,0,1788.0,17
5,7,3,WN,DEN,Other,0,1201.0,10
11,10,1,OH,Other,CLT,1,607.0,6
9,22,1,WN,Other,LAS,1,1521.0,9
11,5,3,OH,Other,Other,0,742.0,9
1,15,3,AA,PHX,Other,0,338.0,14
3,11,2,OH,Other,Other,0,363.0,8
5,27,2,AS,SEA,BOS,0,2496.0,10
6,22,7,AS,Other,Other,1,344.0,16
2,14,5,MQ,Other,ORD,1,296.0,10
11,22,6,OO,Other,DEN,0,113.0,18
12,2,2,UA,EWR,IAH,0,1400.0,12
7,23,3,UA,Other,IAH,0,191.0,17
5,29,4,DL,ATL,Other,0,332.0,11
6,20,5,YX,Other,EWR,1,416.0,19
7,14,1,WN,Other,MCO,1,849.0,15
4,24,4,WN,LAS,Other,1,1984.0,17
2,22,6,OO,Other,DEN,1,260.0,14
6,8,7,MQ,Other,ORD,1,303.0,17
12,5,5,WN,MCO,Other,0,1066.0,14
2,17,1,DL,ATL,Other,0,304.0,22
1,1,3,OO,Other,SLC,0,866.0,8
1,14,2,OO,DEN,Other,1,296.0,21
9,11,4,AS,Other,SEA,0,2422.0,7
1,24,5,WN,MCO,Other,0,1066.0,13
6,8,7,OH,CLT,Other,0,328.0,8
3,24,1,F9,ATL,Other,0,591.0,22
1,5,7,AA,DCA,LAX,0,2311.0,8
11,30,7,DL,Other,BOS,1,1367.0,15
10,27,1,OO,Other,LAS,0,258.0,10
11,12,3,OO,DEN,Other,0,73.0,23
1,3,5,AA,Other,CLT,1,430.0,20
6,18,3,DL,Other,LGA,0,1035.0,7
10,16,4,AA,DFW,Other,1,460.0,7
12,28,7,DL,Other,ATL,0,366.0,18
10,28,2,HA,Other,Other,0,102.0,17
12,26,5,G4,Other,Other,0,932.0,14
2,3,1,DL,ATL,DFW,0,731.0,15
7,20,7,WN,Other,Other,1,641.0,22
12,20,6,F9,Other,ATL,1,577.0,11
6,23,1,DL,Other,DTW,1,1960.0,12
1,13,1,AA,ORD,DCA,0,612.0,6
9,8,1,DL,Other,Other,0,829.0,12
11,10,1,B6,Other,MCO,0,1011.0,7
10,24,5,WN,Other,Other,0,979.0,11
7,27,7,DL,Other,Other,0,1598.0,12
4,6,7,DL,DCA,MIA,1,919.0,13
10,20,1,UA,ORD,Other,1,849.0,11
9,24,3,WN,MCO,Other,0,1142.0,10
5,29,4,WN,Other,MCO,0,882.0,16
4,18,5,WN,DEN,SEA,1,1024.0,21
7,26,6,OO,LAS,Other,0,397.0,14
9,29,1,AA,MIA,Other,0,806.0,22
7,10,4,WN,ATL,Other,1,577.0,13
8,20,3,B6,Other,Other,0,1204.0,6
4,29,2,AA,LAX,MIA,0,2342.0,12
12,13,6,OO,Other,LAX,0,1187.0,20
11,24,1,YX,Other,LGA,0,599.0,14
11,2,7,WN,MCO,Other,1,829.0,20
1,15,3,DL,DCA,ATL,0,547.0,7
1,16,4,AS,Other,DEN,0,991.0,9
8,2,6,YX,Other,LGA,0,764.0,12
1,28,2,UA,Other,SFO,0,451.0,14
10,12,7,OO,MSP,Other,0,174.0,12
1,4,6,UA,MCO,ORD,1,1005.0,20
5,10,6,F9,Other,LAS,0,1824.0,8
12,16,2,UA,EWR,LAS,0,2227.0,7
7,20,7,NK,Other,MCO,0,829.0,7
11,18,2,AA,Other,LAX,0,2239.0,17
10,29,3,AS,SEA,Other,0,605.0,21
11,4,2,NK,MCO,Other,0,1072.0,10
6,21,6,WN,PHX,LAS,0,255.0,22
5,2,5,DL,ATL,DEN,1,1199.0,22
6,7,6,OH,Other,DCA,0,298.0,12
2,2,7,B6,Other,PHX,0,1972.0,9
4,13,7,WN,LAX,Other,0,1363.0,6
10,10,5,WN,Other,Other,1,452.0,15
7,14,1,WN,Other,MCO,1,534.0,19
8,20,3,DL,Other,ATL,0,577.0,12
11,2,7,WN,Other,PHX,0,1010.0,5
9,12,5,OH,Other,DFW,1,733.0,14
11,27,4,OO,Other,Other,0,279.0,10
10,28,2,AA,Other,DFW,0,1126.0,14
11,25,2,AA,IAH,PHX,0,1009.0,18
11,10,1,MQ,DFW,Other,0,482.0,15
6,4,3,B6,Other,Other,1,1028.0,19
8,15,5,OO,Other,IAH,0,542.0,13
9,27,6,WN,Other,MCO,0,990.0,8
5,11,7,DL,SEA,LAX,1,954.0,19
2,10,1,OO,Other,DFW,0,846.0,16
11,4,2,MQ,Other,DFW,0,685.0,6
10,6,1,YX,EWR,Other,0,393.0,10
8,22,5,MQ,Other,ORD,0,753.0,17
9,24,3,WN,Other,Other,0,273.0,9
12,30,2,WN,Other,Other,1,342.0,19
4,5,6,UA,EWR,Other,0,1023.0,14
8,10,7,WN,Other,Other,0,1565.0,5
7,27,7,DL,Other,MSP,0,1025.0,14
8,8,5,G4,Other,Other,0,590.0,13
11,10,1,NK,LAS,Other,0,1069.0,9
7,2,3,WN,Other,Other,0,1052.0,14
7,25,5,DL,Other,SLC,0,1247.0,7
3,27,4,UA,ORD,DCA,0,612.0,18
6,15,7,OO,SLC,LAX,0,590.0,12
4,6,7,NK,Other,Other,0,1005.0,21
6,12,4,WN,Other,DEN,0,948.0,8
4,10,4,DL,ORD,MSP,0,334.0,9
12,3,3,OO,Other,DEN,1,519.0,18
9,11,4,WN,SFO,Other,1,447.0,9
12,19,5,WN,Other,MCO,1,787.0,17
7,24,4,WN,Other,LAS,0,231.0,18
4,19,6,AA,DFW,Other,1,1271.0,17
8,22,5,WN,Other,Other,0,314.0,21
11,25,2,AS,Other,SEA,0,564.0,14
11,22,6,WN,DEN,Other,0,844.0,7
11,6,4,AA,DFW,CLT,1,935.0,20
11,2,7,WN,Other,Other,0,1481.0,10
2,8,6,OH,Other,ATL,1,666.0,15
8,4,1,B6,DCA,Other,0,899.0,20
10,6,1,DL,Other,ATL,0,749.0,18
3,19,3,UA,Other,IAH,0,844.0,17
6,7,6,AA,Other,CLT,0,488.0,10
10,16,4,AA,CLT,BOS,0,728.0,20
9,13,6,DL,MCO,BOS,0,1121.0,11
5,26,1,WN,PHX,DEN,1,602.0,6
2,3,1,DL,MSP,Other,0,1416.0,12
4,21,1,DL,ATL,Other,0,696.0,16
3,27,4,WN,Other,LAS,0,1587.0,17
1,6,1,DL,Other,ATL,0,674.0,6
8,28,4,OO,Other,ORD,1,409.0,7
4,20,7,AA,CLT,Other,1,488.0,11
10,8,3,B6,BOS,Other,0,187.0,5
6,8,7,AA,DFW,Other,1,447.0,19
9,21,7,WN,MCO,DCA,0,759.0,13
3,14,5,WN,Other,Other,0,837.0,10
8,12,2,WN,Other,Other,0,480.0,20
10,1,3,OH,DFW,Other,0,328.0,16
12,20,6,DL,Other,ATL,0,1541.0,6
5,14,3,YX,Other,DCA,1,213.0,16
9,23,2,DL,ATL,CLT,0,226.0,22
11,20,4,YX,Other,ORD,0,474.0,7
12,17,3,WN,DEN,Other,1,957.0,20
7,28,1,G4,Other,Other,0,465.0,19
8,11,1,WN,LGA,DEN,1,1620.0,17
7,5,6,UA,Other,ORD,0,403.0,8
11,14,5,AA,PHX,IAH,0,1009.0,9
1,12,7,AA,SLC,MIA,0,2088.0,14
1,3,5,WN,Other,Other,0,404.0,18
10,5,7,DL,SLC,ATL,0,1590.0,17
9,21,7,OO,MSP,Other,0,255.0,9
4,14,1,WN,LAX,Other,0,1750.0,23
1,22,3,WN,SLC,Other,0,588.0,11
4,28,1,WN,Other,Other,0,247.0,17
5,26,1,DL,ATL,Other,0,425.0,11
3,25,2,YX,Other,DCA,0,762.0,6
7,18,5,DL,ATL,Other,1,1269.0,21
6,7,6,AS,SEA,Other,0,2378.0,21
10,2,4,UA,SFO,Other,0,550.0,22
8,30,6,B6,MCO,Other,0,1188.0,5
6,27,5,AA,DCA,MCO,0,759.0,11
5,5,1,WN,Other,Other,1,307.0,21
8,3,7,OO,Other,ORD,1,137.0,15
5,31,6,OO,Other,DEN,0,627.0,11
5,19,1,B6,MCO,EWR,0,937.0,11
9,11,4,AA,LAX,PHX,0,370.0,13
2,16,7,WN,Other,MCO,0,994.0,5
6,10,2,OO,Other,SFO,0,158.0,18
10,4,6,MQ,DFW,Other,1,551.0,15
2,13,4,AA,Other,Other,1,951.0,14
5,2,5,YX,LGA,Other,1,500.0,19
6,13,5,G4,LAS,Other,0,259.0,16
2,14,5,DL,ATL,Other,1,534.0,22
1,12,7,AA,Other,DFW,0,247.0,10
3,13,4,MQ,ORD,Other,0,177.0,9
12,19,5,WN,Other,Other,1,220.0,22
3,29,6,UA,MCO,ORD,0,1005.0,18
10,31,5,MQ,DFW,Other,0,312.0,14
10,30,4,F9,PHX,IAH,0,1009.0,16
9,12,5,AA,DFW,Other,0,1360.0,9
7,21,1,B6,Other,Other,1,1056.0,14
1,31,5,HA,Other,Other,1,100.0,13
5,2,5,UA,Other,ORD,0,258.0,17
10,18,6,HA,Other,Other,1,163.0,13
7,24,4,DL,MSP,Other,0,1029.0,6
12,5,5,UA,Other,DEN,0,991.0,5
6,23,1,WN,Other,Other,0,405.0,17
1,23,4,WN,Other,Other,0,251.0,18
9,23,2,UA,Other,SFO,0,2418.0,8
8,7,4,WN,Other,Other,0,404.0,13
5,22,4,DL,DTW,ORD,0,235.0,18
11,8,6,YX,Other,LGA,1,292.0,14
4,9,3,UA,EWR,SFO,0,2565.0,20
11,30,7,HA,Other,Other,0,101.0,7
